N,Reliability,Delta_t,Mean_Indirect_Effect,Statistical_Power
100,0.6,1,0.7407400288457058,51.800000000000004
100,0.6,2,0.5675538953698351,43.2
100,0.6,5,0.1284281625036177,11.1
100,0.7,1,0.796384400896598,56.10000000000001
100,0.7,2,0.6668619326753342,48.4
100,0.7,5,0.15655391869835614,12.6
100,0.8,1,0.837279388375711,55.800000000000004
100,0.8,2,0.7314218417226787,52.800000000000004
100,0.8,5,0.2061036693011014,16.900000000000002
100,0.9,1,0.8711100977384979,59.099999999999994
100,0.9,2,0.7894176822013671,57.699999999999996
100,0.9,5,0.25376448016436753,17.5
300,0.6,1,0.7523869224251848,94.39999999999999
300,0.6,2,0.5830938212559872,88.3
300,0.6,5,0.12873487179230814,24.2
300,0.7,1,0.8006277521095696,95.1
300,0.7,2,0.6454943155843037,91.7
300,0.7,5,0.16173333920161084,28.7
300,0.8,1,0.8578215966115821,96.39999999999999
300,0.8,2,0.701588877659304,92.60000000000001
300,0.8,5,0.1914221341917327,32.300000000000004
300,0.9,1,0.8894460027405329,97.89999999999999
300,0.9,2,0.7751515415640049,95.0
300,0.9,5,0.2384596247459828,37.8
500,0.6,1,0.7511728464043438,99.7
500,0.6,2,0.5798603143879002,97.7
500,0.6,5,0.12494768133146826,34.4
500,0.7,1,0.8120226049814497,99.5
500,0.7,2,0.6422524421770297,98.5
500,0.7,5,0.15808175944965314,42.5
500,0.8,1,0.8468228591050031,99.8
500,0.8,2,0.7174716300830717,99.7
500,0.8,5,0.18832935415488303,47.199999999999996
500,0.9,1,0.8870887261785648,99.9
500,0.9,2,0.7713768596923757,99.8
500,0.9,5,0.23258120284093511,54.7
1000,0.6,1,0.7516655160810228,100.0
1000,0.6,2,0.5757049889062489,100.0
1000,0.6,5,0.12778106737793923,61.8
1000,0.7,1,0.8076467950454483,100.0
1000,0.7,2,0.6505854504011209,100.0
1000,0.7,5,0.15832603229774045,69.89999999999999
1000,0.8,1,0.8508637453921369,100.0
1000,0.8,2,0.7167664888419194,100.0
1000,0.8,5,0.19488409813142624,77.0
1000,0.9,1,0.8752314415718249,100.0
1000,0.9,2,0.7855172550671619,100.0
1000,0.9,5,0.2340441856028412,84.89999999999999
